placementId,siteName,appName,status
462254787473609_462263890806032,Native-brand-new,Word Tailor_FR,TRUE
462254787473609_474033726295715,reward-video-001,Word Tailor_FR,TRUE
462254787473609_484594651906289,reward-video-002,Word Tailor_FR,TRUE
462254787473609_484594835239604,reward-video-003,Word Tailor_FR,TRUE
462254787473609_487335571632197,Reward video-004-New,Word Tailor_FR,TRUE
255002604992256_263534290805754,Banner-001,Solitaire Journey,TRUE
255002604992256_263546090804574,banner-002,Solitaire Journey,TRUE
255002604992256_263548137471036,Native Banner-001,Solitaire Journey,TRUE
255002604992256_263548224137694,Native Banner-002,Solitaire Journey,TRUE
255002604992256_263551074137409,Native-brand-new,Solitaire Journey,TRUE
255002604992256_263551280804055,Navtie-brand-001,Solitaire Journey,TRUE
255002604992256_263551517470698,Native-brand-002,Solitaire Journey,TRUE
255002604992256_263553914137125,Interstitial-001,Solitaire Journey,TRUE
