placementId,appName,status,siteName
ca-app-pub-3144836196842303/1819558678,MagicMania,TRUE,Interstitial-002
ca-app-pub-3144836196842303/3222585472,MagicMania,TRUE,Magic Mania Interstitial
ca-app-pub-3144836196842303/3296291876,MagicMania,TRUE,Interstitial-003
ca-app-pub-3144836196842303/4773025078,MagicMania,TRUE,Interstitial-004
ca-app-pub-3144836196842303/6249758275,MagicMania,TRUE,Interstitial-005
ca-app-pub-3144836196842303/6389359070,MagicMania,TRUE,banner-001
ca-app-pub-3144836196842303/7866092279,MagicMania,TRUE,banner-002
ca-app-pub-3144836196842303/9342825474,MagicMania,TRUE,Interstitial-001
ca-app-pub-3144836196842303/3156691070,MarbleSaga,TRUE,Interstitial-001
ca-app-pub-3144836196842303/1679957870,MarbleSaga,TRUE,banner-002
ca-app-pub-3144836196842303/3475537073,MarbleSaga,TRUE,Marble Legend Interstitial
ca-app-pub-3144836196842303/4633424277,MarbleSaga,TRUE,Interstitial-002
ca-app-pub-3144836196842303/6110157477,MarbleSaga,TRUE,Interstitial-003
ca-app-pub-3144836196842303/7586890679,MarbleSaga,TRUE,Interstitial-004
ca-app-pub-3144836196842303/9063623878,MarbleSaga,TRUE,Interstitial-005
ca-app-pub-3144836196842303/9203224671,MarbleSaga,TRUE,banner-001
ca-app-pub-3144836196842303/1400756278,MarbleSaga2,TRUE,Interstitial-005
ca-app-pub-3144836196842303/1540357078,MarbleSaga2,TRUE,banner-001
ca-app-pub-3144836196842303/3017090276,MarbleSaga2,TRUE,banner-002
ca-app-pub-3144836196842303/3335936274,MarbleSaga2,TRUE,Marble Legend 2 Interstitial
ca-app-pub-3144836196842303/4493823476,MarbleSaga2,TRUE,Interstitial-001
ca-app-pub-3144836196842303/5970556677,MarbleSaga2,TRUE,Interstitial-002
ca-app-pub-3144836196842303/7447289873,MarbleSaga2,TRUE,Interstitial-003
ca-app-pub-3144836196842303/8924023077,MarbleSaga2,TRUE,Interstitial-004
ca-app-pub-3144836196842303/3705137871,Monster Sniper,TRUE,Monster Sniper Interstitial
ca-app-pub-3144836196842303/1121554672,MonsterSplash,TRUE,Interstitial-002
ca-app-pub-3144836196842303/2598287876,MonsterSplash,TRUE,Interstitial-003
ca-app-pub-3144836196842303/4075021075,MonsterSplash,TRUE,Interstitial-004
ca-app-pub-3144836196842303/4267642675,MonsterSplash,TRUE,Monster Splash Banner
ca-app-pub-3144836196842303/5551754273,MonsterSplash,TRUE,Interstitial-005
ca-app-pub-3144836196842303/5691355078,MonsterSplash,TRUE,banner-001
ca-app-pub-3144836196842303/5744375874,MonsterSplash,TRUE,Monster Splash Interstitial
ca-app-pub-3144836196842303/7168088271,MonsterSplash,TRUE,banner-002
ca-app-pub-3144836196842303/8644821479,MonsterSplash,TRUE,Interstitial-001
ca-app-pub-3144836196842303/2194661874,NumberPuzzle,TRUE,Interstitial-005
ca-app-pub-3144836196842303/5287729074,NumberPuzzle,TRUE,Interstitial-002
ca-app-pub-3144836196842303/6764462277,NumberPuzzle,TRUE,Interstitial-003
ca-app-pub-3144836196842303/6941907471,NumberPuzzle,TRUE,2048 Mania Interstitial
ca-app-pub-3144836196842303/8241195470,NumberPuzzle,TRUE,Interstitial-004
ca-app-pub-3144836196842303/8380796274,NumberPuzzle,TRUE,Interstitial-001
ca-app-pub-3144836196842303/8418640676,NumberPuzzle,TRUE,2048 Mania 
ca-app-pub-3144836196842303/8520397075,NumberPuzzle,TRUE,banner-001
ca-app-pub-3144836196842303/9997130273,NumberPuzzle,TRUE,banner-002
ca-app-pub-3144836196842303/2267672279,PoolMania,TRUE,Pool Mania Banner
ca-app-pub-3144836196842303/2458687072,PoolMania,TRUE,Interstitial-002
ca-app-pub-3144836196842303/3744405473,PoolMania,TRUE,Pool Mania Interstitial
ca-app-pub-3144836196842303/3935420276,PoolMania,TRUE,Interstitial-003
ca-app-pub-3144836196842303/5412153470,PoolMania,TRUE,Interstitial-004
ca-app-pub-3144836196842303/6888886673,PoolMania,TRUE,Interstitial-005
ca-app-pub-3144836196842303/7028487477,PoolMania,TRUE,banner-001
ca-app-pub-3144836196842303/8505220671,PoolMania,TRUE,banner-002
ca-app-pub-3144836196842303/9981953873,PoolMania,TRUE,Interstitial-001
ca-app-pub-9240980261558928/1350520296,Pyramid Solitaire,TRUE,Interstitial-003
ca-app-pub-9240980261558928/2827253491,Pyramid Solitaire,TRUE,Interstitial-004
ca-app-pub-9240980261558928/4303986694,Pyramid Solitaire,TRUE,Interstitial-005
ca-app-pub-9240980261558928/4443587493,Pyramid Solitaire,TRUE,banner-001
ca-app-pub-9240980261558928/5920320693,Pyramid Solitaire,TRUE,banner-002
ca-app-pub-9240980261558928/7397053891,Pyramid Solitaire,TRUE,Interstitial-001
ca-app-pub-9240980261558928/8873787099,Pyramid Solitaire,TRUE,Interstitial-002
ca-app-pub-9240980261558928/9444892520,Pyramid Solitaire,TRUE,banner-003
ca-app-pub-3144836196842303/5828919471,Racing Moto,TRUE,Racing Moto Interstitial
ca-app-pub-3144836196842303/1900283879,SkateBoy2,TRUE,Interstitial-003
ca-app-pub-3144836196842303/3377017075,SkateBoy2,TRUE,Interstitial-004
ca-app-pub-3144836196842303/4993351079,SkateBoy2,TRUE,banner-001
ca-app-pub-3144836196842303/6330483471,SkateBoy2,TRUE,Interstitial-005
ca-app-pub-3144836196842303/6470084276,SkateBoy2,TRUE,banner-002
ca-app-pub-3144836196842303/7707401873,SkateBoy2,TRUE,Skater Boy Legend Interstitial
ca-app-pub-3144836196842303/7946817475,SkateBoy2,TRUE,Interstitial-001
ca-app-pub-3144836196842303/9423550670,SkateBoy2,TRUE,Interstitial-002
ca-app-pub-3144836196842303/8139409077,Skater Boy,TRUE,Skater Boy Bannner 
ca-app-pub-3144836196842303/9616142271,Skater Boy,TRUE,Skater Boy Interstitial 
ca-app-pub-9240980261558928/1322233894,Solitaire Collection,TRUE,Interstitial-005
ca-app-pub-9240980261558928/2798967092,Solitaire Collection,TRUE,NativeMenu-001
ca-app-pub-9240980261558928/3078168698,Solitaire Collection,TRUE,banner-001
ca-app-pub-9240980261558928/4415301099,Solitaire Collection,TRUE,Interstitial-001
ca-app-pub-9240980261558928/5892034299,Solitaire Collection,TRUE,Interstitial-002
ca-app-pub-9240980261558928/7368767496,Solitaire Collection,TRUE,Interstitial-003
ca-app-pub-9240980261558928/7508368293,Solitaire Collection,TRUE,banner-002
ca-app-pub-9240980261558928/8845500697,Solitaire Collection,TRUE,Interstitial-004
ca-app-pub-9240980261558928/8985101498,Solitaire Collection,TRUE,DIYAdmob-001
ca-app-pub-9240980261558928/3746011151,Solitaire Collection,TRUE,banner-003
ca-app-pub-9240980261558928/9401307294,Solitaire Collection,TRUE,banner-004
ca-app-pub-9240980261558928/2152723899,Solitaire Collection_IOS,TRUE,Interstitial-004
ca-app-pub-9240980261558928/3629457098,Solitaire Collection_IOS,TRUE,Interstitial-005
ca-app-pub-9240980261558928/3769057898,Solitaire Collection_IOS,TRUE,banner-001
ca-app-pub-9240980261558928/5245791099,Solitaire Collection_IOS,TRUE,banner-002
ca-app-pub-9240980261558928/6722524299,Solitaire Collection_IOS,TRUE,Interstitial-001
ca-app-pub-9240980261558928/8199257492,Solitaire Collection_IOS,TRUE,Interstitial-002
ca-app-pub-9240980261558928/9675990699,Solitaire Collection_IOS,TRUE,Interstitial-003
ca-app-pub-9240980261558928/1353334808,Solitaire Collection_IOS,TRUE,Admob-Interstitial-006
ca-app-pub-9240980261558928/1760519491,Solitaire Lite,TRUE,Interstitial-003
ca-app-pub-9240980261558928/1900120296,Solitaire Lite,TRUE,banner-001
ca-app-pub-9240980261558928/2931058296,Solitaire Lite,TRUE,lite-basic-interstitial 
ca-app-pub-9240980261558928/3237252690,Solitaire Lite,TRUE,Interstitial-004
ca-app-pub-9240980261558928/3376853497,Solitaire Lite,TRUE,banner-002
ca-app-pub-9240980261558928/4853586691,Solitaire Lite,TRUE,DIYAdmob-001
ca-app-pub-9240980261558928/6190719099,Solitaire Lite,TRUE,Interstitial-005
ca-app-pub-9240980261558928/7640459496,Solitaire Lite,TRUE,lite-basic-banner 
